page_a,page_b,first_pass_reason,second_verdict,second_evidence,confidence,classification,reach,tier,licence_ground,resolved_page_b,page_b_source,name_a,name_b,exception_classes,corpus_confirms,existing_relations,first_pass_actions
K2:BVPYARCRLTXGBD-UHFFFAOYSA-N,K4:trisodium,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9b 'Trisodium' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Anhydrous Trisodium",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K4:trisodium,page_b,Trisodium,Anhydrous Trisodium,,,,remainder
K2:JSQIKKVBLLHQSQ-AWJAZODESA-N,K2:PVHLMTREZMEJCG-GDTLVBQBSA-N,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,merge,"R1 identical UNII IJ3FUK8MOF, but the two held structures disagree (different skeletons JSQIKKVBLLHQSQ vs PVHLMTREZMEJCG); the registry identifier is the stronger evidence and the structure conflict needs a data fix",medium,NOT-LICENSED,indexable,1,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K2:PVHLMTREZMEJCG-GDTLVBQBSA-N,page_b,ANGIOTENSIN,Talfirastide,,same_unii; structure_conflict; moiety_match; fragment_match,,remainder
K3:CHEMBL1201493,K4:simethicone cellulose,same normalised name and no structure on either page; the identity rules give no evidence that decides them,merge,"R7y identical name 'SIMETHICONE-CELLULOSE' and no structure on either page; UNIIs none / none, substance classes [] / []",low,NOT-LICENSED,rest,1,a merge at low confidence,K4:simethicone cellulose,page_b,SIMETHICONE-CELLULOSE,Simethicone-Cellulose,,,,review
K3:CHEMBL1201525,K4:technetium tc 99m polyphosphate kit,same normalised name and no structure on either page; the identity rules give no evidence that decides them,merge,"R7y identical name 'TECHNETIUM TC-99M POLYPHOSPHATE KIT' and no structure on either page; UNIIs none / none, substance classes [] / []",low,NOT-LICENSED,rest,1,a merge at low confidence,K4:technetium tc 99m polyphosphate kit,page_b,TECHNETIUM TC-99M POLYPHOSPHATE KIT,Technetium Tc-99m Polyphosphate Kit,isotopologue,,,review
K3:CHEMBL1201537,K4:trolamine polypeptide oleate condensate,same normalised name and no structure on either page; the identity rules give no evidence that decides them,merge,"R7y identical name 'TROLAMINE POLYPEPTIDE OLEATE CONDENSATE' and no structure on either page; UNIIs none / none, substance classes [] / []",low,NOT-LICENSED,rest,1,a merge at low confidence,K4:trolamine polypeptide oleate condensate,page_b,TROLAMINE POLYPEPTIDE OLEATE CONDENSATE,Trolamine Polypeptide Oleate Condensate,,,,review
K3:CHEMBL1201652,K4:protein hydrolysate,same normalised name and no structure on either page; the identity rules give no evidence that decides them,merge,"R7y identical name 'PROTEIN HYDROLYSATE' and no structure on either page; UNIIs none / none, substance classes [] / []",low,NOT-LICENSED,rest,1,a merge at low confidence,K4:protein hydrolysate,page_b,PROTEIN HYDROLYSATE,Protein Hydrolysate,,,,review
K3:CHEMBL3707352,K4:policosanol,same normalised name and no structure on either page; the identity rules give no evidence that decides them,merge,"R7y identical name 'POLICOSANOL' and no structure on either page; UNIIs none / none, substance classes [] / []",low,NOT-LICENSED,indexable,1,a merge at low confidence,K4:policosanol,page_b,POLICOSANOL,Policosanol,,,,review
"COMBO:{IK:DSFGXPJYDCSWTA-SECBINFHSA-N,K1:2679MF687A}","COMBO:{K1:2679MF687A,K1:TN1B5910V2}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal",form_of,RC the component sets differ only in the stereo form of one component: IK:DSFGXPJYDCSWTA-SECBINFHSA-N and K1:TN1B5910V2 share skeleton DSFGXPJYDCSWTA with different stereo,medium,LICENSED-FORM_OF,rest,2,"the two pages carry one InChIKey skeleton and different full keys, which §3.4 and §5.1 split and link","COMBO:{K1:2679MF687A,K1:TN1B5910V2}",page_b,Xantinol Nicotinate,XANTHINOL NIACINATE,combination,same_skeleton_different_full,,remainder
"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS}","COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal",separate,"RC different products under §3.7: COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS} adds Abacavir, COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1} adds nothing",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1}",page_b,"Abacavir, Dolutegravir, Lamivudine",Dolutegravir and Lamivudine,combination,same_unii; same_full_inchikey; moiety_match,,remainder
"COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}","COMBO:{K1:8GTS82S83M,K1:M494UE2YEP}","two combination records share an identifier but not their component sets; §3.7 keys a combination by its components, so they are different products unless a component merge makes the sets equal",separate,"RC different products under §3.7: COMBO:{K1:8GTS82S83M,K1:GE2UA340FM} adds 8-CHLOROTHEOPHYLLINE, COMBO:{K1:8GTS82S83M,K1:M494UE2YEP} adds ACEFYLLINE",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,"COMBO:{K1:8GTS82S83M,K1:M494UE2YEP}",page_b,DIMENHYDRINATE,ETANAUTINE,combination,same_full_inchikey,,remainder
HOLD:existing:alclometasone,K1:136H45TB7B,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII 136H45TB7B: the structure on HOLD:existing:alclometasone is GSRS Alclometasone dipropionate (S56PQL4N1V), one covalent molecule that adds dipropionate to ALCLOMETASONE. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,rest,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:136H45TB7B,page_b,Alclometasone,ALCLOMETASONE,ester,same_unii; structure_conflict; moiety_match,,remainder
HOLD:existing:anhydrous-citric-acid,K1:2968PHW8QP,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,merge,"R1h identical UNII 2968PHW8QP; the structure on HOLD:existing:anhydrous-citric-acid is GSRS Anhydrous citric acid (XF417D3PSL), the same substance as Citric Acid with anhydrous on the name. §3.1 removes solvates and hydrates",high,NOT-LICENSED,band,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:2968PHW8QP,page_b,Anhydrous Citric Acid,Citric Acid,,same_unii; structure_conflict,,remainder
HOLD:existing:anhydrous-citric-acid,K1:XF417D3PSL,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,merge,R2 identical full InChIKey: both hold InChIKey KRKNYBCHXYNGOX-UHFFFAOYSA-N,high,LICENSED-MERGE,band,2,both pages carry the identical full InChIKey recorded in the corpus,K1:XF417D3PSL,page_b,Anhydrous Citric Acid,Anhydrous Citric Acid,,same_full_inchikey; moiety_match; fragment_match,same_structure_as,keep_separate
HOLD:existing:beclomethasone,K1:KGZ1SLC28Z,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII KGZ1SLC28Z: the structure on HOLD:existing:beclomethasone is GSRS BECLOMETHASONE DIPROPIONATE (5B307S63B2), one covalent molecule that adds dipropionate to Beclometasone. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,band,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:KGZ1SLC28Z,page_b,Beclometasone,Beclometasone,ester,same_unii; structure_conflict; moiety_match,,remainder
HOLD:existing:ethynodiol,K1:9E01C36A9S,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII 9E01C36A9S: the structure on HOLD:existing:ethynodiol is GSRS ETHYNODIOL DIACETATE (62H10A1236), one covalent molecule that adds diacetate to ETHYNODIOL. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,rest,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:9E01C36A9S,page_b,Ethynodiol,ETHYNODIOL,ester,same_unii; structure_conflict; moiety_match,,remainder
HOLD:existing:fludarabine,K1:P2K93U8740,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII P2K93U8740: the structure on HOLD:existing:fludarabine is GSRS FLUDARABINE PHOSPHATE (1X9VK9O1SC), one covalent molecule that adds phosphate to Fludarabine. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,band,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:P2K93U8740,page_b,Fludarabine,Fludarabine,ester,same_unii; structure_conflict; moiety_match,,remainder
HOLD:existing:fludrocortisone,K1:U0476M545B,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII U0476M545B: the structure on HOLD:existing:fludrocortisone is GSRS Fludrocortisone acetate (V47IF0PVH4), one covalent molecule that adds acetate to Fludrocortisone. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,band,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:U0476M545B,page_b,Fludrocortisone,Fludrocortisone,ester,same_unii; structure_conflict; moiety_match,,remainder
HOLD:existing:fluphenazine,K1:S79426A41Z,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,form_of,"R1x §3.2 exception to the shared UNII S79426A41Z: the structure on HOLD:existing:fluphenazine is GSRS Fluphenazine enanthate (QSB34YF0W9), one covalent molecule that adds enanthate to Fluphenazine. An ester or acyl derivative is a distinct substance, so the pages split and link",high,NOT-LICENSED,rest,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:S79426A41Z,page_b,Fluphenazine,Fluphenazine,ester,same_unii; structure_conflict; moiety_match,,remainder
HOLD:existing:lactitol,K1:L2B0WJF7ZY,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,separate,"R1z the structure on HOLD:existing:lactitol is GSRS .ALPHA.-LACTULOSE (9XH2P2N8EP), a substance neither page is named for; Lactitol (L2B0WJF7ZY) is a different substance and the shared UNII field on that page is wrong",high,LICENSED-SEPARATE,rest,2,a separate verdict leaves both pages exactly as they are,K1:L2B0WJF7ZY,page_b,Lactitol,Lactitol,,same_unii; structure_conflict; moiety_match,,remainder
HOLD:existing:potassium-citrate,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",merge,R0b same full InChIKey inside the 'potassium' name group: HOLD:existing:potassium-citrate and K1:86R1NVR0HW both hold QEEAPRPFLLJWCF-UHFFFAOYSA-K,high,LICENSED-MERGE,band,2,both pages carry the identical full InChIKey recorded in the corpus,K1:86R1NVR0HW,second-opinion evidence,Potassium Citrate,POTASSIUM CITRATE ANHYDROUS,,same_full_inchikey,same_structure_as,detach_unii
HOLD:existing:potassium-citrate,K1:86R1NVR0HW,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,merge,R2 identical full InChIKey: both hold InChIKey QEEAPRPFLLJWCF-UHFFFAOYSA-K,high,LICENSED-MERGE,band,2,both pages carry the identical full InChIKey recorded in the corpus,K1:86R1NVR0HW,page_b,Potassium Citrate,POTASSIUM CITRATE ANHYDROUS,,same_full_inchikey,same_structure_as,keep_separate
HOLD:existing:potassium-citrate,K1:EE90ONI6FF,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,merge,"R1h identical UNII EE90ONI6FF; the structure on HOLD:existing:potassium-citrate is GSRS POTASSIUM CITRATE ANHYDROUS (86R1NVR0HW), the same substance as POTASSIUM CITRATE with anhydrous on the name. §3.1 removes solvates and hydrates",high,NOT-LICENSED,band,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:EE90ONI6FF,page_b,Potassium Citrate,POTASSIUM CITRATE,,same_unii; structure_conflict,,remainder
HOLD:existing:voxilaprevir,K1:0570F37359,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,merge,"R1 identical UNII 0570F37359, but the two held structures disagree (different skeletons MKDALIOACIEUJM vs MZBLZLWXUBZHSL); the registry identifier is the stronger evidence and the structure conflict needs a data fix",medium,NOT-LICENSED,rest,2,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K1:0570F37359,page_b,Voxilaprevir,Voxilaprevir,,same_unii; structure_conflict; moiety_match; fragment_match,,remainder
